# MANE Select GRCh38 v1.5: every gene, symbol and HGNC id.
# source MANE.GRCh38.v1.5.summary.txt.gz sha256 d10ace2720681a3b2e0eefd9da4f551274a6b4141ac9bfd6a2565dfb6e9ad55c
symbol	hgnc_id
ADAT3	HGNC:25151
ADCK1	HGNC:19038
ADCK2	HGNC:19039
ADCK5	HGNC:21738
ADCY1	HGNC:232
ADCY10	HGNC:21285
ADCY2	HGNC:233
ADCY3	HGNC:234
ADCY4	HGNC:235
ADCY5	HGNC:236
ADCY6	HGNC:237
ADCY7	HGNC:238
ADCY8	HGNC:239
ADCY9	HGNC:240
ADCYAP1	HGNC:241
ADCYAP1R1	HGNC:242
ADD1	HGNC:243
ADD2	HGNC:244
ADD3	HGNC:245
ADGB	HGNC:21212
ADGRA1	HGNC:13838
ADGRA2	HGNC:17849
ADGRA3	HGNC:13839
ADGRB1	HGNC:943
ADGRB2	HGNC:944
ADGRB3	HGNC:945
ADGRD1	HGNC:19893
ADGRD2	HGNC:18651
ADGRE1	HGNC:3336
ADGRE2	HGNC:3337
ADGRE3	HGNC:23647
ADGRE5	HGNC:1711
ADGRF1	HGNC:18990
ADGRF3	HGNC:18989
ADGRF4	HGNC:19011
ADGRF5	HGNC:19030
ADGRG1	HGNC:4512
ADGRG2	HGNC:4516
ADGRG3	HGNC:13728
ADGRG4	HGNC:18992
ADGRG5	HGNC:19010
ADGRG6	HGNC:13841
ADGRG7	HGNC:19241
ADGRL1	HGNC:20973
ADGRL2	HGNC:18582
ADGRL3	HGNC:20974
ADGRL4	HGNC:20822
ADGRV1	HGNC:17416
ADH1A	HGNC:249
ADH1B	HGNC:250
ADH1C	HGNC:251
ADH4	HGNC:252
ADH5	HGNC:253
ADH6	HGNC:255
ADH7	HGNC:256
ADHFE1	HGNC:16354
ADI1	HGNC:30576
ADIG	HGNC:28606
ADIPOQ	HGNC:13633
ADIPOR1	HGNC:24040
ADIPOR2	HGNC:24041
ADIRF	HGNC:24043
ADISSP	HGNC:15873
ADK	HGNC:257
ADM	HGNC:259
ADM2	HGNC:28898
ADM5	HGNC:27293
ADNP	HGNC:15766
ADNP2	HGNC:23803
ADO	HGNC:23506
ADORA1	HGNC:262
ADORA2A	HGNC:263
ADORA2B	HGNC:264
ADORA3	HGNC:268
ADPGK	HGNC:25250
ADPRH	HGNC:269
ADPRHL1	HGNC:21303
ADPRM	HGNC:30925
ADPRS	HGNC:21304
ADRA1A	HGNC:277
ADRA1B	HGNC:278
ADRA1D	HGNC:280
ADRA2A	HGNC:281
ADRA2B	HGNC:282
ADRA2C	HGNC:283
ADRB1	HGNC:285
ADRB2	HGNC:286
ADRB3	HGNC:288
ADRM1	HGNC:15759
ADSL	HGNC:291
ADSS1	HGNC:20093
ADSS2	HGNC:292
ADTRP	HGNC:21214
AEBP1	HGNC:303
AEBP2	HGNC:24051
AEN	HGNC:25722
AFAP1	HGNC:24017
AFAP1L1	HGNC:26714
AFAP1L2	HGNC:25901
AFDN	HGNC:7137
AFF1	HGNC:7135
AFF2	HGNC:3776
AFF3	HGNC:6473
AFF4	HGNC:17869
AFG1L	HGNC:16411
AFG2A	HGNC:18119
AFG2B	HGNC:28762
AFG3L2	HGNC:315
AFM	HGNC:316
AFMID	HGNC:20910
AFP	HGNC:317
AFTPH	HGNC:25951
AGA	HGNC:318
AGAP1	HGNC:16922
AGAP2	HGNC:16921
AGAP3	HGNC:16923
AGAP4	HGNC:23459
AGAP5	HGNC:23467
AGAP6	HGNC:23466
AGAP9	HGNC:23463
AGBL1	HGNC:26504
AGBL2	HGNC:26296
AGBL3	HGNC:27981
AGBL4	HGNC:25892
AGBL5	HGNC:26147
AGER	HGNC:320
AGFG1	HGNC:5175
AGFG2	HGNC:5177
AGGF1	HGNC:24684
AGK	HGNC:21869
AGL	HGNC:321
AGMAT	HGNC:18407
AGMO	HGNC:33784
AGO1	HGNC:3262
AGO2	HGNC:3263
AGO3	HGNC:18421
AGO4	HGNC:18424
AGPAT1	HGNC:324
AGPAT2	HGNC:325
AGPAT3	HGNC:326
AGPAT4	HGNC:20885
AGPAT5	HGNC:20886
AGPS	HGNC:327
AGR2	HGNC:328
AGR3	HGNC:24167
AGRN	HGNC:329
AGRP	HGNC:330
AGT	HGNC:333
AGTPBP1	HGNC:17258
AGTR1	HGNC:336
AGTR2	HGNC:338
AGTRAP	HGNC:13539
AGXT	HGNC:341
AGXT2	HGNC:14412
AHCTF1	HGNC:24618
